id,start_date,end_date
79,2020-03-03,2020-03-05
64,2020-03-03,2020-03-06
43,2020-03-03,2020-03-06
107,2020-03-04,2020-03-06
81,2020-03-10,2020-03-12
46,2020-03-10,2020-03-12
92,2020-03-11,2020-03-13
110,2020-03-17,2020-03-19
52,2020-03-17,2020-03-19
34,2020-03-17,2020-03-19
37,2020-03-24,2020-03-25
9,2020-03-24,2020-03-26
70,2020-03-25,2020-03-26
49,2020-03-25,2020-03-27
118,2020-03-31,2020-04-01
54,2020-03-31,2020-04-02
6,2020-03-31,2020-04-03
101,2020-04-06,2020-04-08
57,2020-04-06,2020-04-08
32,2020-04-07,2020-04-08
74,2020-04-14,2020-04-15
40,2020-04-14,2020-04-16
13,2020-04-14,2020-04-14
67,2020-04-21,2020-04-22
28,2020-04-21,2020-04-23
22,2020-04-21,2020-04-24
120,2020-04-22,2020-04-23
108,2020-06-03,2020-06-05
93,2020-06-09,2020-06-11
80,2020-06-10,2020-06-12
123,2020-06-11,2020-06-12
85,2020-06-16,2020-06-18
96,2020-06-17,2020-06-19
60,2020-06-17,2020-06-19
121,2020-06-23,2020-06-24
99,2020-06-24,2020-06-26
82,2020-06-24,2020-06-26
119,2020-06-29,2020-06-30
90,2020-06-29,2020-06-30
125,2020-07-01,2020-07-03
126,2020-07-07,2020-07-08
117,2020-09-01,2020-09-03
55,2020-09-01,2020-09-03
8,2020-09-01,2020-09-04
102,2020-09-02,2020-09-04
77,2020-09-08,2020-09-09
16,2020-09-08,2020-09-11
105,2020-09-09,2020-09-10
114,2020-09-15,2020-09-17
111,2020-09-15,2020-09-17
19,2020-09-15,2020-09-18
113,2020-09-22,2020-09-24
35,2020-09-22,2020-09-24
58,2020-09-23,2020-09-25
38,2020-09-29,2020-09-30
25,2020-09-29,2020-10-01
91,2020-10-01,2020-10-02
71,2020-10-06,2020-10-07
29,2020-10-06,2020-10-08
10,2020-10-06,2020-10-08
86,2020-10-07,2020-10-09
41,2020-10-12,2020-10-14
65,2020-10-13,2020-10-16
68,2020-10-20,2020-10-21
61,2020-10-20,2020-10-22
88,2020-10-22,2020-10-23
103,2020-10-26,2020-10-28
7,2020-11-03,2020-11-06
109,2020-11-04,2020-11-06
124,2020-11-05,2020-11-06
14,2020-11-10,2020-11-12
94,2020-11-11,2020-11-13
63,2020-11-11,2020-11-13
20,2020-11-17,2020-11-20
97,2020-11-18,2020-11-20
59,2020-11-24,2020-11-26
23,2020-11-24,2020-11-28
100,2020-11-25,2020-11-27
84,2020-11-25,2020-11-26
56,2020-12-01,2020-12-03
11,2020-12-01,2020-12-03
69,2020-12-08,2020-12-09
53,2020-12-08,2020-12-10
17,2020-12-08,2020-12-11
116,2020-12-15,2020-12-17
106,2020-12-15,2020-12-16
47,2020-12-15,2020-12-17
26,2020-12-15,2020-12-17
78,2020-12-16,2020-12-17
75,2020-12-16,2020-12-17
112,2020-12-22,2020-12-24
66,2020-12-22,2020-12-25
44,2020-12-22,2020-12-25
72,2020-12-29,2020-12-30
50,2020-12-29,2020-12-31
